ns_state,freq_hz,w_re_mean,w_re_std,w_im_mean,w_im_std,w_avg_mean,w_avg_std
Ns6,5.62,3.720075976020678e-44,4.9784122222889134e-60,0.009210592154798894,0.025153996922688014,0.004605296077399447,0.017786561797978245
Ns6,7.5,3.720075976020678e-44,4.9784122222889134e-60,0.02003763555650286,0.0722467224380288,0.01001881777825143,0.05108614735443246
Ns6,10.0,3.720075976020678e-44,4.9784122222889134e-60,0.07791601765050515,0.13941156389372505,0.03895800882525258,0.09857886220507463
Ns6,13.3,3.720075976020678e-44,4.9784122222889134e-60,0.16085901744091916,0.14385639939190048,0.08042950872045958,0.10172183552709317
Ns6,17.8,3.720075976020678e-44,4.9784122222889134e-60,0.024997535283142476,0.09012988401071305,0.012498767641571238,0.06373145217153217
Ns6,23.7,3.720075976020678e-44,4.9784122222889134e-60,3.2846748049682538e-37,1.1843062091245243e-36,1.6423375884879257e-37,8.374309514732845e-37
Ns6,31.6,3.720075976020678e-44,4.9784122222889134e-60,3.720075976020678e-44,4.9784122222889134e-60,3.720075976020678e-44,4.9784122222889134e-60
Ns6,42.2,3.720075976020678e-44,4.9784122222889134e-60,3.720075976020678e-44,4.9784122222889134e-60,3.720075976020678e-44,4.9784122222889134e-60
Ns6,56.2,3.720075976020678e-44,4.9784122222889134e-60,3.720075976020678e-44,4.9784122222889134e-60,3.720075976020678e-44,4.9784122222889134e-60
Ns6,75.0,3.720075976020678e-44,4.9784122222889134e-60,3.720075976020678e-44,4.9784122222889134e-60,3.720075976020678e-44,4.9784122222889134e-60
Ns6,102.0,3.720075976020678e-44,4.9784122222889134e-60,3.720075976020678e-44,4.9784122222889134e-60,3.720075976020678e-44,4.9784122222889134e-60
Ns6,135.0,3.720075976020678e-44,4.9784122222889134e-60,3.720075976020678e-44,4.9784122222889134e-60,3.720075976020678e-44,4.9784122222889134e-60
Ns6,178.0,3.720075976020678e-44,4.9784122222889134e-60,3.720075976020678e-44,4.9784122222889134e-60,3.720075976020678e-44,4.9784122222889134e-60
Ns6,237.0,3.720075976020678e-44,4.9784122222889134e-60,3.720075976020678e-44,4.9784122222889134e-60,3.720075976020678e-44,4.9784122222889134e-60
Ns6,316.0,3.720075976020678e-44,4.9784122222889134e-60,9.758506440085088e-28,3.518479533884439e-27,4.879253220042544e-28,2.4879407378757698e-27
Ns6,422.0,2.0035040717210008e-43,5.8824441931745236e-43,0.017206096740072147,0.04216682825353097,0.008603048370036073,0.029816450199200255
Ns6,564.0,3.720075976020678e-44,4.9784122222889134e-60,0.027794911943471157,0.048802315518946496,0.013897455971735579,0.03450844824105256
Ns6,750.0,0.00011700363104361006,0.0004218625911432061,0.03184856015911279,0.046536571584052305,0.0159827818950782,0.03290767739330315
Ns6,1000.0,5.706393312710453e-29,2.0574693686942344e-28,0.04289012943904358,0.08302575130980105,0.02144506471952179,0.058708071764268205
Ns6,1330.0,0.00012572459312281114,0.00045330646709114305,3.720075976020678e-44,4.9784122222889134e-60,6.286229656140557e-05,0.0003205360768358638
Ns6,1780.0,0.009729570803300369,0.024994830903789088,3.720075976020678e-44,4.9784122222889134e-60,0.004864785401650184,0.017674014426680346
