rank,feature_index,feature_type,frequency_hz,importance,importance_percent,cumulative_percent,is_literature_range_1_10_hz,frequency_range
74,89,Imaginary,8.64,2.052472518698778e-05,0.002052473369985819,99.96884155273438,True,Low (1-10 Hz)
75,52,Real,952.0,2.0519511963357218e-05,0.002051952062174678,99.97089385986328,False,Mid (10-1000 Hz)
76,71,Imaginary,0.456,2.0252951799193397e-05,0.0020252959802746773,99.9729232788086,False,Action Vector
77,75,Imaginary,1.1,2.0194736862322316e-05,0.0020194745156913996,99.97494506835938,True,Low (1-10 Hz)
78,90,Imaginary,10.0,1.9966686522820964e-05,0.001996669452637434,99.97693634033203,True,Low (1-10 Hz)
79,6,Real,1.1,1.879876435850747e-05,0.0018798771779984236,99.97881317138672,True,Low (1-10 Hz)
80,11,Real,2.37,1.8080159861710854e-05,0.0018080166773870587,99.98062133789062,True,Low (1-10 Hz)
81,27,Real,23.7,1.718492421787232e-05,0.001718493178486824,99.98233795166016,False,Mid (10-1000 Hz)
82,7,Real,1.33,1.573933695908636e-05,0.0015739344526082277,99.9839096069336,True,Low (1-10 Hz)
83,29,Real,31.6,1.4624924006056972e-05,0.0014624930918216705,99.9853744506836,False,Mid (10-1000 Hz)
84,35,Real,75.0,1.4133003787719645e-05,0.0014133008662611246,99.98678588867188,False,Mid (10-1000 Hz)
85,15,Real,4.22,1.3052149370196275e-05,0.0013052155263721943,99.98809051513672,True,Low (1-10 Hz)
86,72,Imaginary,0.612,1.1372938388376497e-05,0.001137294340878725,99.98922729492188,False,Action Vector
87,117,Imaginary,529.0,8.534485459676944e-06,0.0008534489315934479,99.99008178710938,False,Mid (10-1000 Hz)
88,83,Imaginary,3.57,7.732297490292694e-06,0.0007732301019132137,99.99085998535156,True,Low (1-10 Hz)
89,18,Real,6.43,7.718816050328314e-06,0.0007718819542787969,99.99163055419922,True,Low (1-10 Hz)
90,85,Imaginary,4.8,7.2377724791294895e-06,0.0007237775716930628,99.99235534667969,True,Low (1-10 Hz)
91,17,Real,5.62,7.120193004084285e-06,0.0007120196241885424,99.9930648803711,True,Low (1-10 Hz)
92,95,Imaginary,20.9,6.272845894272905e-06,0.0006272848695516586,99.99369049072266,False,Mid (10-1000 Hz)
93,104,Imaginary,75.0,5.443863756227074e-06,0.0005443866248242557,99.99423217773438,False,Mid (10-1000 Hz)
94,105,Imaginary,90.6,5.38173844688572e-06,0.0005381740629673004,99.99476623535156,False,Mid (10-1000 Hz)
95,25,Real,17.8,4.904035904473858e-06,0.0004904037923552096,99.99525451660156,False,Mid (10-1000 Hz)
96,31,Real,42.2,4.527038527157856e-06,0.00045270402915775776,99.99571228027344,False,Mid (10-1000 Hz)
97,21,Real,10.0,4.112015176360728e-06,0.0004112017049919814,99.9961166381836,True,Low (1-10 Hz)
98,67,Real,7500.0,3.9140909393609036e-06,0.0003914092667400837,99.99651336669922,False,High (>1000 Hz)
99,100,Imaginary,42.2,3.710368446263601e-06,0.0003710369928739965,99.99687957763672,False,Mid (10-1000 Hz)
100,24,Real,15.5,3.5503958315530326e-06,0.0003550397523213178,99.99723815917969,False,Mid (10-1000 Hz)
101,19,Real,7.5,3.2370476219512057e-06,0.00032370490953326225,99.99755859375,True,Low (1-10 Hz)
102,41,Real,178.0,3.109917543042684e-06,0.00031099189072847366,99.99787139892578,False,Mid (10-1000 Hz)
103,121,Imaginary,952.0,2.5612241643102607e-06,0.000256122526479885,99.99813079833984,False,Mid (10-1000 Hz)
104,64,Real,5560.0,2.3949289698066423e-06,0.0002394929906586185,99.99836730957031,False,High (>1000 Hz)
105,22,Real,11.6,2.15691056837386e-06,0.00021569115051534027,99.99858093261719,False,Mid (10-1000 Hz)
106,86,Imaginary,5.62,1.7620435528442613e-06,0.00017620442667976022,99.99876403808594,True,Low (1-10 Hz)
107,48,Real,529.0,1.6535177564946935e-06,0.00016535184113308787,99.9989242553711,False,Mid (10-1000 Hz)
108,30,Real,37.5,1.2519795973275905e-06,0.0001251980138476938,99.99905395507812,False,Mid (10-1000 Hz)
109,109,Imaginary,163.0,1.14620331714832e-06,0.00011462037946330383,99.9991683959961,False,Mid (10-1000 Hz)
110,54,Real,1280.0,9.674330385678331e-07,9.674335160525516e-05,99.99925994873047,False,High (>1000 Hz)
111,93,Imaginary,15.5,8.459969649265986e-07,8.459972741547972e-05,99.99934387207031,False,Mid (10-1000 Hz)
112,44,Real,294.0,7.89816567703383e-07,7.898169133113697e-05,99.99942016601562,False,Mid (10-1000 Hz)
113,81,Imaginary,2.66,6.564079058080097e-07,6.564081559190527e-05,99.9994888305664,True,Low (1-10 Hz)
114,137,Imaginary,10000.0,5.325508141140745e-07,5.325510574039072e-05,99.99954223632812,False,High (>1000 Hz)
115,49,Real,564.0,5.196466190682258e-07,5.196468555368483e-05,99.99959564208984,False,Mid (10-1000 Hz)
116,47,Real,422.0,5.100335442875803e-07,5.10033787577413e-05,99.99964904785156,False,Mid (10-1000 Hz)
117,136,Imaginary,7500.0,5.036686729908979e-07,5.036688889958896e-05,99.99969482421875,False,High (>1000 Hz)
118,110,Imaginary,178.0,5.02173975291953e-07,5.021741890232079e-05,99.99974060058594,False,Mid (10-1000 Hz)
119,58,Real,2300.0,4.847150876230444e-07,4.847153104492463e-05,99.99979400634766,False,High (>1000 Hz)
120,103,Imaginary,67.6,4.712401278084144e-07,4.7124030970735475e-05,99.99983978271484,False,Mid (10-1000 Hz)
121,123,Imaginary,1280.0,3.439665192672692e-07,3.439666761551052e-05,99.9998779296875,False,High (>1000 Hz)
122,69,Imaginary,0.254,2.8225596793163277e-07,2.8225607820786536e-05,99.99990844726562,False,Action Vector
123,50,Real,710.0,2.7267535074315674e-07,2.7267546101938933e-05,99.99993133544922,False,Mid (10-1000 Hz)
124,40,Real,163.0,1.8025272652266722e-07,1.8025279132416472e-05,99.99995422363281,False,Mid (10-1000 Hz)
125,28,Real,28.0,1.4592906438792852e-07,1.459291252103867e-05,99.99996185302734,False,Mid (10-1000 Hz)
126,107,Imaginary,122.0,8.27184791774016e-08,8.271851584140677e-06,99.99996948242188,False,Mid (10-1000 Hz)
127,87,Imaginary,6.43,6.724628320853299e-08,6.7246310209156945e-06,99.9999771118164,True,Low (1-10 Hz)
128,132,Imaginary,4220.0,6.367189087086444e-08,6.367191872413969e-06,99.99998474121094,False,High (>1000 Hz)
129,113,Imaginary,294.0,2.985208524819427e-08,2.9852099032723345e-06,99.99998474121094,False,Mid (10-1000 Hz)
130,101,Imaginary,50.3,2.722221736917163e-08,2.722222689044429e-06,99.99998474121094,False,Mid (10-1000 Hz)
131,116,Imaginary,422.0,2.7104061217642084e-08,2.7104072160000214e-06,99.99998474121094,False,Mid (10-1000 Hz)
132,99,Imaginary,37.5,2.466485682361963e-08,2.4664866487000836e-06,99.99998474121094,False,Mid (10-1000 Hz)
133,96,Imaginary,23.7,6.135347341285069e-09,6.135350076874602e-07,99.99998474121094,False,Mid (10-1000 Hz)
134,91,Imaginary,11.6,5.763719723717031e-09,5.763722015217354e-07,99.99998474121094,False,Mid (10-1000 Hz)
135,102,Imaginary,56.2,1.4443288787191477e-09,1.4443294560351205e-07,99.99998474121094,False,Mid (10-1000 Hz)
136,127,Imaginary,2300.0,1.2795046133717847e-09,1.2795051418379444e-07,99.99998474121094,False,High (>1000 Hz)
137,120,Imaginary,750.0,5.665103386398584e-10,5.665105717866936e-08,99.99998474121094,False,Mid (10-1000 Hz)
138,97,Imaginary,28.0,2.472012872178908e-10,2.4720140601175444e-08,99.99998474121094,False,Mid (10-1000 Hz)
139,94,Imaginary,17.8,7.102412733460406e-13,7.102415183757316e-11,99.99998474121094,False,Mid (10-1000 Hz)
140,108,Imaginary,135.0,0.0,0.0,99.99998474121094,False,Mid (10-1000 Hz)
